ref_id,name,tier,tier_label,cluster,cluster_name,group,applicability,family,layer,ai_substrate,cadence,pipeline_layer,assurance_question,measurement_method,lifecycle_phases,responsible_actors,maturity,source,group_file,heading_line
GV.CR-11,Medical Device Classification Documentation,1,Minimum Viable,GV,System Governance,NHS Compliance & Regulatory,General Healthcare AI,,Prevention,AI-Agnostic Governance,One-off gate; Event-triggered,Cross-cutting,Safety,Human Review,Pre-deployment,Vendor; Deployer,Established,[MHRA-SaMD]; FTS notice 069369-2025 Step 1.h,gv/nhs-compliance-regulatory.md,597
GV.CR-12,Board-Level AI Governance Mechanism,1,Minimum Viable,GV,System Governance,NHS Compliance & Regulatory,General Healthcare AI,,Limitation,AI-Agnostic Governance,Periodic audit; Event-triggered,Cross-cutting,Governance,Human Review,"Pre-deployment, Continuous",Deployer,Established,[CQC] well-led KLOEs; DSIT AI Playbook Principle 10,gv/nhs-compliance-regulatory.md,637
GV.CR-13,Refusal Impact-Explanation Quality,2,Recommended,GV,System Governance,NHS Compliance & Regulatory,General Healthcare AI,NHSE IG Attestation,Detection,AI-Agnostic Governance,Periodic audit; Event-triggered,Cross-cutting,Patient Experience,Human Review,Continuous,Clinician; Deployer,Proposed / Novel,[NHSE-IG-Guidance-2026-03] — transparency / dissent-handling content (parent guidance hub does not currently expose a stable section anchor; topic-cited),gv/nhs-compliance-regulatory.md,677
GV.CR-14,Consultation-Type Appropriateness Assessment,1,Minimum Viable,GV,System Governance,NHS Compliance & Regulatory,General Healthcare AI,,Prevention,AI-Agnostic Governance,Periodic audit; Event-triggered,Cross-cutting,Safety,Human Review,"Pre-deployment, Continuous",Deployer; Clinician,Emerging,[Caldicott] Principle 1 (justify the purpose); RCGP / RCPsych sensitive-consultation guidance,gv/nhs-compliance-regulatory.md,720
GV.SC-1,Prompt Injection Resistance Rate,2,Recommended,GV,System Governance,Security & Adversarial Robustness,General Healthcare AI,,Prevention,AI-Substrate,Periodic audit,Cross-cutting,Safety,Computational,"Pre-deployment, Periodic Audit","Vendor, Academic",Emerging,[Mindgard-Heidi-2026]; [Mindgard-Doctronic-2026]; adversarial ML literature,gv/security-adversarial-robustness.md,1
GV.SC-2,Jailbreak Resistance Score,2,Recommended,GV,System Governance,Security & Adversarial Robustness,General Healthcare AI,,Prevention,AI-Substrate,Periodic audit,Cross-cutting,Safety,Computational,"Pre-deployment, Periodic Audit","Vendor, Academic",Emerging,[Mindgard-Heidi-2026]; [Mindgard-Doctronic-2026],gv/security-adversarial-robustness.md,46
GV.SC-3,Adversarial Audio Detection Rate,3,Advanced / Research,GV,System Governance,Security & Adversarial Robustness,AVT-Specific,,Detection,AI-Substrate,Periodic audit,ASR / Transcription,Safety,Computational,"Pre-deployment, Periodic Audit","Vendor, Academic",Emerging,Adversarial ML literature; identified in [NHS-LLM-Framework] 'intentional misuse' dimension,gv/security-adversarial-robustness.md,91
GV.SC-4,Data Poisoning Resilience,3,Advanced / Research,GV,System Governance,Security & Adversarial Robustness,General Healthcare AI,,Prevention,AI-Substrate,One-off gate,Cross-cutting,Safety,Computational,Pre-deployment,Vendor,Emerging,[Carlini-Web-Scale-Poisoning-2024] (0.001 % web-scale poisoning threshold); historical/conceptual basis [discipline-data-poisoning] (Biggio et al. ICML 2012),gv/security-adversarial-robustness.md,135
GV.SC-5,Output Safety Classifier Coverage,2,Recommended,GV,System Governance,Security & Adversarial Robustness,General Healthcare AI,,Detection,AI-Substrate,Continuous,Summarisation,Safety,Computational,"Pre-deployment, Continuous",Vendor,Emerging,[NeMo-Guardrails] (representative implementation of the output-classifier pattern); absence noted in vendor safety architecture review,gv/security-adversarial-robustness.md,175
GV.SC-6,Template Injection Vulnerability Assessment,2,Recommended,GV,System Governance,Security & Adversarial Robustness,General Healthcare AI,,Prevention,AI-Substrate,Periodic audit,Summarisation,Safety,Computational,"Pre-deployment, Periodic Audit","Vendor, Deployer",Proposed / Novel,Identified in [INSYTE-2025] underspecification analysis; extends template modification risk to adversarial context,gv/security-adversarial-robustness.md,220
GV.SC-7,Voice Cloning / Deepfake Detection,3,Advanced / Research,GV,System Governance,Security & Adversarial Robustness,AVT-Specific,,Detection,AI-Substrate,Periodic audit,Audio Capture,Safety,Computational,"Pre-deployment, Periodic Audit","Vendor, Academic",Emerging,Voice biometric and deepfake detection literature,gv/security-adversarial-robustness.md,260
GV.SC-8,Side-Channel Data Leakage,2,Recommended,GV,System Governance,Security & Adversarial Robustness,General Healthcare AI,,Detection,AI-Substrate,Periodic audit,Cross-cutting,Safety,Computational,"Pre-deployment, Periodic Audit",Vendor,Established,Standard application security testing,gv/security-adversarial-robustness.md,300
GV.SC-9,Cross-Patient Information Leakage Rate,2,Recommended,GV,System Governance,Security & Adversarial Robustness,General Healthcare AI,,Detection,AI-Substrate,Periodic audit,Cross-cutting,Safety,Computational,"Pre-deployment, Periodic Audit",Vendor,Emerging,[MIT-Jameel-2026] cross-patient leakage disclosure,gv/security-adversarial-robustness.md,340
GV.SC-10,Clinician Identity Authentication,2,Recommended,GV,System Governance,Security & Adversarial Robustness,General Healthcare AI,,Prevention,AI-Substrate,One-off gate,Cross-cutting,Safety,Human Review,Pre-deployment,"Vendor, Deployer",Established,Standard authentication security; [CIS2] requirements,gv/security-adversarial-robustness.md,378
GV.SC-11,Membership Inference Attack AUC,3,Advanced / Research,GV,System Governance,Security & Adversarial Robustness,General Healthcare AI,,Detection,AI-Substrate,Periodic audit,Cross-cutting,Safety,Computational,"Pre-deployment, Periodic Audit","Vendor, Academic",Established,[IEEE-S-and-P-2023-LLM-PII-Leakage]; [Luo-PII-CRM-2026],gv/security-adversarial-robustness.md,420
GV.SC-12,Cyber Essentials Plus Certification Status,2,Recommended,GV,System Governance,Security & Adversarial Robustness,AVT-Contextualised,,Prevention,AI-Substrate,One-off gate; Periodic audit,Cross-cutting,Security,Documentary,"Pre-deployment, Periodic Audit","Vendor, Deployer",Established,[NHSE-AVT-Registry] (req #5); [NCSC-Cyber-Essentials] (Plus variant administered by IASME),gv/security-adversarial-robustness.md,460
GV.PD-1,Audio Retention Compliance,1,Minimum Viable,GV,System Governance,Privacy & Data Governance,AVT-Specific,,Detection,AI-Agnostic Governance,Continuous,Cross-cutting,Safety,Computational,Continuous,"Vendor, Deployer",Established,[UK-GDPR] Article 5(1)(e) storage limitation; [NHSE-IG-Guidance-2026-03],gv/privacy-data-governance.md,1
GV.PD-2,Audio Time-to-Deletion,1,Minimum Viable,GV,System Governance,Privacy & Data Governance,AVT-Specific,,Prevention,AI-Agnostic Governance,Continuous,Cross-cutting,Safety,Computational,Continuous,"Vendor, Deployer",Established,[NHSE-IG-Guidance-2026-03]; [UK-GDPR] Article 5(1)(e) storage limitation,gv/privacy-data-governance.md,65
GV.PD-3,Transcript Retention Compliance,1,Minimum Viable,GV,System Governance,Privacy & Data Governance,AVT-Specific,,Prevention,AI-Agnostic Governance,Continuous,Cross-cutting,Safety,Computational,Continuous,"Vendor, Deployer",Established,[NHSE-IG-Guidance-2026-03]; [UK-GDPR] Article 5(1)(e),gv/privacy-data-governance.md,126
GV.PD-4,Data Minimisation Score,2,Recommended,GV,System Governance,Privacy & Data Governance,General Healthcare AI,,Prevention,AI-Agnostic Governance,Periodic audit,Cross-cutting,Safety,Hybrid,"Pre-deployment, Periodic Audit","Vendor, Deployer",Proposed / Novel,[UK-GDPR] Article 5(1)(c) data minimisation; DGX Spark / local processing potential,gv/privacy-data-governance.md,190
GV.PD-5,PII Extraction Attack Success Rate,2,Recommended,GV,System Governance,Privacy & Data Governance,General Healthcare AI,,Detection,AI-Agnostic Governance,Periodic audit,Cross-cutting,Safety,Computational,"Pre-deployment, Periodic Audit","Vendor, Academic",Emerging,[IEEE-S-and-P-2023-LLM-PII-Leakage]; [OWASP-LLM-Top-10] (Sensitive Information Disclosure),gv/privacy-data-governance.md,230
GV.PD-6,Re-identification Risk Assessment,2,Recommended,GV,System Governance,Privacy & Data Governance,General Healthcare AI,,Prevention,AI-Agnostic Governance,Periodic audit,Cross-cutting,Safety,Human Review,"Pre-deployment, Periodic Audit","Deployer, Vendor",Established,[ICO] anonymisation code of practice; [NIST-Privacy-Framework],gv/privacy-data-governance.md,270
GV.PD-7,Training Data Inclusion Status,2,Recommended,GV,System Governance,Privacy & Data Governance,General Healthcare AI,,Prevention,AI-Substrate,One-off gate; Periodic audit; Event-triggered,Cross-cutting,Safety,Human Review,"Pre-deployment, Periodic Audit","Vendor, Deployer",Proposed / Novel,[UK-GDPR] transparency requirements; derived from emerging AVT procurement practice,gv/privacy-data-governance.md,310
GV.PD-8,Consent Verification Accuracy,1,Minimum Viable,GV,System Governance,Privacy & Data Governance,General Healthcare AI,NHSE IG Attestation,Detection,AI-Agnostic Governance,Continuous,Cross-cutting,Patient Experience,Hybrid,"Continuous, Periodic Audit",Deployer,Proposed / Novel,[CQC-Mythbuster-109]; [NHSE-IG-Guidance-2026-03]; common law implied consent requirements,gv/privacy-data-governance.md,350
GV.PD-9,Cross-Border Data Transfer Compliance,1,Minimum Viable,GV,System Governance,Privacy & Data Governance,General Healthcare AI,NHSE IG Attestation,Prevention,AI-Agnostic Governance,One-off gate,Cross-cutting,Safety,Human Review,"Pre-deployment, Periodic Audit","Vendor, Deployer",Established,[UK-GDPR] Article 46; [Schrems-II] implications,gv/privacy-data-governance.md,416
GV.PD-10,Subject Access Request Fulfilment,1,Minimum Viable,GV,System Governance,Privacy & Data Governance,General Healthcare AI,,Prevention,AI-Agnostic Governance,One-off gate,Cross-cutting,Safety,Human Review,"Pre-deployment, Continuous","Vendor, Deployer",Established,[UK-GDPR] Article 15 right of access,gv/privacy-data-governance.md,461
GV.PD-11,Right to Erasure Compliance,1,Minimum Viable,GV,System Governance,Privacy & Data Governance,General Healthcare AI,,Prevention,AI-Agnostic Governance,One-off gate,Cross-cutting,Safety,Human Review,Pre-deployment,"Vendor, Deployer",Emerging,[UK-GDPR] Article 17 right to erasure; [NHSE-IG-Guidance-2026-03] for individual-care exemption scope,gv/privacy-data-governance.md,522
GV.PD-12,Training Data Representativeness Documentation,2,Recommended,GV,System Governance,Privacy & Data Governance,General Healthcare AI,,Prevention,AI-Substrate,One-off gate; Event-triggered,Cross-cutting,Fairness,Human Review,Pre-deployment,Vendor,Emerging,"[MHRA-SaMD] GMLP principle 3 (representative datasets); FTS Performance & Monitoring Response — ""boundaries and bias""",gv/privacy-data-governance.md,592
GV.PD-13,Privacy Notice Currency & Completeness,1,Minimum Viable,GV,System Governance,Privacy & Data Governance,General Healthcare AI,NHSE IG Attestation,Prevention,AI-Agnostic Governance,Periodic audit; Event-triggered,Cross-cutting,Privacy,Human Review,"Pre-deployment, Continuous",Deployer,Established,[NHSE-IG-Guidance-2026-03] — privacy notice / AVT-processing transparency content (topic-cited; parent hub no stable section anchor); UK GDPR Art 13/14,gv/privacy-data-governance.md,632
GV.PD-14,SAR Deletion-Pause Interaction,2,Recommended,GV,System Governance,Privacy & Data Governance,General Healthcare AI,NHSE IG Attestation,Detection,AI-Agnostic Governance,Periodic audit; Event-triggered,Cross-cutting,Privacy,Human Review,"Pre-deployment, Continuous",Deployer; Vendor,Emerging,[NHSE-IG-Guidance-2026-03] — data subject rights / SAR-handling content (topic-cited; parent hub no stable section anchor); UK GDPR Art 12-22 (data subject rights),gv/privacy-data-governance.md,675
GV.PD-15,Right-to-Restrict Tooling Support,2,Recommended,GV,System Governance,Privacy & Data Governance,General Healthcare AI,NHSE IG Attestation,Prevention,AI-Agnostic Governance,Periodic audit; Event-triggered,Cross-cutting,Privacy,Human Review,"Pre-deployment, Continuous",Deployer; Vendor,Emerging,[NHSE-IG-Guidance-2026-03] — data subject rights / restriction tooling content (topic-cited; parent hub no stable section anchor); UK GDPR Art 18,gv/privacy-data-governance.md,718
GV.PD-16,Decommissioning Data Handling Compliance,1,Minimum Viable,GV,System Governance,Privacy & Data Governance,AVT-Contextualised,,Limitation,AI-Agnostic Governance,One-off gate; Event-triggered,Cross-cutting,Safety,Human Review,"Pre-deployment, Continuous","Vendor, Deployer",Emerging,"Operational extension of [GV.PD-1] retention enumeration; promoted from `_gaps.md` P5-Lifecycle ""Decommissioning plan"" entry; [DCB0160] Stage 7 (decommissioning)",gv/privacy-data-governance.md,761
GV.PD-17,DPIA Justification Quality,2,Recommended,GV,System Governance,Privacy & Data Governance,General Healthcare AI,,Prevention,AI-Agnostic Governance,Periodic audit; Event-triggered,Cross-cutting,Privacy,Human Review,"Pre-deployment, Continuous",Deployer; Caldicott Guardian,Established,[Caldicott] Principle 1 (justify the purpose); UK Caldicott Guardian Manual; NDG guidance,gv/privacy-data-governance.md,830
GV.PD-18,Information Asset Register Completeness,1,Minimum Viable,GV,System Governance,Privacy & Data Governance,General Healthcare AI,NHSE IG Attestation,Prevention,AI-Agnostic Governance,Periodic audit; Event-triggered,Cross-cutting,Privacy,Human Review,"Pre-deployment, Continuous",Deployer,Established,[NHSE-IG-Guidance-2026-03] — information asset register / IAO-naming content (topic-cited; the unverified 'section 8' placeholder from v5.4.0 is dropped — parent hub no stable section anchor); NDG Data Security Standards,gv/privacy-data-governance.md,872
GV.OP-1,Documentation Time per Consultation,1,Minimum Viable,GV,System Governance,Operational,General Healthcare AI,,Limitation,AI-Agnostic Governance,Continuous,Cross-cutting,Operational,Passive Observational,"Day Zero Baseline, Continuous",Deployer,Established,Widely used; critiqued [Coiera-Fraile-Navarro-JMIR-2026],gv/operational.md,1
GV.OP-2,Pyjama Time / After-Hours EHR Use,2,Recommended,GV,System Governance,Operational,General Healthcare AI,,Detection,AI-Agnostic Governance,Continuous,Cross-cutting,Operational,Passive Observational,"Day Zero Baseline, Continuous",Deployer,Established,[Sinsky-Mayo-EHR-Studies] (concept: physician time-allocation); [Sinsky-Adler-Milstein-EHR-Logs-2020] (methodology: audit-log-derived activity metrics); American Medical Association EHR use studies,gv/operational.md,70
GV.OP-3,Note Turnaround Time,2,Recommended,GV,System Governance,Operational,General Healthcare AI,,Detection,AI-Agnostic Governance,Continuous,End-to-End,Operational,Computational,Continuous,"Vendor, Deployer",Established,Standard operational workflow metric; extends Full-Pipeline Latency Budget,gv/operational.md,110
GV.OP-4,Documentation Workload Composite,2,Recommended,GV,System Governance,Operational,General Healthcare AI,,Detection,AI-Agnostic Governance,Periodic audit,Cross-cutting,Operational,Computational,"Day Zero Baseline, Periodic Audit",Deployer,Proposed / Novel,[Sinsky-Mayo-EHR-Studies] extended to AVT context; NHS workforce wellbeing frameworks,gv/operational.md,152
GV.OP-5,System Availability / Uptime,1,Minimum Viable,GV,System Governance,Operational,General Healthcare AI,,Detection,Post-AI,Continuous,Cross-cutting,Operational,Computational,Continuous,Vendor,Established,Standard SLA; [NAS-Day-Zero-SPI-internal],gv/operational.md,192
GV.OP-6,Adoption Rate & Selective Use Patterns,1,Minimum Viable,GV,System Governance,Operational,General Healthcare AI,,Detection,AI-Agnostic Governance,Continuous,Cross-cutting,Operational,Passive Observational,Continuous,Deployer,Established,Standard deployment metric,gv/operational.md,228
GV.OP-7,Cost per Consultation,2,Recommended,GV,System Governance,Operational,General Healthcare AI,,Detection,AI-Agnostic Governance,Periodic audit,Cross-cutting,Operational,Human Review,Periodic Audit,Deployer,Established,Standard healthcare technology economic evaluation,gv/operational.md,268
GV.OP-8,Governance & Maintenance Burden,3,Advanced / Research,GV,System Governance,Operational,General Healthcare AI,,Limitation,AI-Agnostic Governance,Periodic audit,Cross-cutting,Operational,Human Review,Periodic Audit,Deployer,Proposed / Novel,Identified as systematically under-measured cost,gv/operational.md,308
GV.OP-9,Training Time per Clinician,2,Recommended,GV,System Governance,Operational,General Healthcare AI,,Detection,AI-Agnostic Governance,Continuous,Cross-cutting,Operational,Human Review,"Pre-deployment, Continuous",Deployer,Established,Standard implementation metric,gv/operational.md,348
GV.OP-14,Historical Output Continuity,2,Recommended,GV,System Governance,Operational,AVT-Contextualised,,Limitation,AI-Agnostic Governance,One-off gate; Event-triggered,Cross-cutting,Operational,Human Review,"Pre-deployment, Continuous","Vendor, Deployer",Emerging,"Promoted from `_gaps.md` P5-Lifecycle ""Decommissioning plan"" entry; complements [GV.VT-15 Retirement Notification Compliance](#gv-vt-15) and [GV.PD-16 Decommissioning Data Handling Compliance](#gv-pd-16)",gv/operational.md,385
GV.EN-1,Energy Consumption per Clinical Note,3,Advanced / Research,GV,System Governance,Environmental & Sustainability,General Healthcare AI,,Detection,AI-Agnostic Governance,Periodic audit,Cross-cutting,Operational,Computational,Periodic Audit,Vendor,Emerging,"[Jegham-AI-Hunger-2025] (""How Hungry is AI?"")",gv/environmental-sustainability.md,1
GV.EN-2,Carbon Emissions per Inference,3,Advanced / Research,GV,System Governance,Environmental & Sustainability,General Healthcare AI,,Detection,AI-Agnostic Governance,Periodic audit,Cross-cutting,Operational,Computational,Periodic Audit,Vendor,Emerging,[Mistral-AI-LCA]; [Jegham-AI-Hunger-2025] grid carbon intensity adjustment,gv/environmental-sustainability.md,41
GV.EN-3,Water Consumption per Query,3,Advanced / Research,GV,System Governance,Environmental & Sustainability,General Healthcare AI,,Detection,AI-Agnostic Governance,Periodic audit,Cross-cutting,Operational,Computational,Periodic Audit,Vendor,Emerging,[Jegham-AI-Hunger-2025]; [Li-Making-AI-Less-Thirsty],gv/environmental-sustainability.md,81
GV.TC-1,Clinician Training Completion Rate,1,Minimum Viable,GV,System Governance,Training & Competency,General Healthcare AI,,Prevention,AI-Agnostic Governance,Continuous,Cross-cutting,Human Factors,Human Review,"Day Zero Baseline, Continuous",Deployer,Established,[NAS-Day-Zero-SPI-internal] requirements; standard clinical governance,gv/training-competency.md,1
GV.TC-2,Failure Mode Awareness Score,2,Recommended,GV,System Governance,Training & Competency,General Healthcare AI,,Prevention,AI-Agnostic Governance,Periodic audit,Cross-cutting,Human Factors,Hybrid,"Day Zero Baseline, Periodic Audit",Deployer,Proposed / Novel,Proposed - extends error injection concept to training assessment,gv/training-competency.md,73
GV.TC-3,Refresher Training & CPD Compliance,2,Recommended,GV,System Governance,Training & Competency,General Healthcare AI,,Limitation,AI-Agnostic Governance,Periodic audit; Event-triggered,Cross-cutting,Human Factors,Human Review,Continuous,Deployer,Proposed / Novel,Standard clinical governance CPD requirements; applied to AVT,gv/training-competency.md,113
GV.TC-4,Trainee Impact Assessment,3,Advanced / Research,GV,System Governance,Training & Competency,General Healthcare AI,,Detection,AI-Agnostic Governance,Periodic audit,Cross-cutting,Human Factors,Hybrid,Periodic Audit,"Academic, National Body",Proposed / Novel,Medical education literature; [GMC] standards consideration,gv/training-competency.md,162
GV.TC-5,Training Material Currency,2,Recommended,GV,System Governance,Training & Competency,General Healthcare AI,,Limitation,AI-Agnostic Governance,Continuous; Event-triggered,Cross-cutting,Human Factors,Human Review,Continuous,Deployer,Proposed / Novel,Standard training governance,gv/training-competency.md,202
GV.VT-1,Model Change Notification Compliance,1,Minimum Viable,GV,System Governance,Vendor Transparency & Contractual,General Healthcare AI,,Limitation,AI-Agnostic Governance,Continuous,Cross-cutting,Safety,Human Review,Continuous,Vendor,Emerging,"[Keyes-Stanford-Monitoring-2025]; three-principle monitoring framework (system integrity, performance, impact)",gv/vendor-transparency-contractual.md,1
GV.VT-2,Telemetry Provision Completeness,1,Minimum Viable,GV,System Governance,Vendor Transparency & Contractual,General Healthcare AI,,Limitation,AI-Agnostic Governance,Continuous,Cross-cutting,Meta-evaluation,Human Review,"Pre-deployment, Continuous",Vendor,Emerging,[Keyes-Stanford-Monitoring-2025]; identified as prerequisite for most continuous monitoring metrics,gv/vendor-transparency-contractual.md,70
GV.VT-3,Benchmark & Evaluation Data Accessibility,3,Advanced / Research,GV,System Governance,Vendor Transparency & Contractual,General Healthcare AI,,Prevention,AI-Agnostic Governance,One-off gate,Cross-cutting,Meta-evaluation,Human Review,Pre-deployment,Vendor,Proposed / Novel,Proposed - vendors currently self-evaluate with proprietary benchmarks,gv/vendor-transparency-contractual.md,116
GV.VT-4,Audit Trail Completeness,2,Recommended,GV,System Governance,Vendor Transparency & Contractual,General Healthcare AI,,Limitation,AI-Agnostic Governance,Continuous,Cross-cutting,Safety,Computational,"Pre-deployment, Continuous","Vendor, Deployer",Proposed / Novel,Clinical record governance requirements; applied to AI-generated documentation,gv/vendor-transparency-contractual.md,156
GV.VT-5,Incident Disclosure Compliance,1,Minimum Viable,GV,System Governance,Vendor Transparency & Contractual,General Healthcare AI,,Limitation,AI-Agnostic Governance,Continuous,Cross-cutting,Safety,Human Review,Continuous,Vendor,Established,Standard security incident disclosure practice,gv/vendor-transparency-contractual.md,196
GV.VT-6,Exit & Data Portability Provisions,2,Recommended,GV,System Governance,Vendor Transparency & Contractual,General Healthcare AI,,Prevention,AI-Agnostic Governance,One-off gate,Cross-cutting,Operational,Human Review,Pre-deployment,Vendor,Established,Standard procurement practice; lock-in risk analysis,gv/vendor-transparency-contractual.md,261
GV.VT-7,Sub-Processor Transparency,1,Minimum Viable,GV,System Governance,Vendor Transparency & Contractual,General Healthcare AI,,Limitation,AI-Agnostic Governance,Continuous,Cross-cutting,Safety,Human Review,"Pre-deployment, Continuous","Vendor, Deployer",Established,[UK-GDPR] Article 28,gv/vendor-transparency-contractual.md,301
GV.VT-8,Intermediate Output Access,2,Recommended,GV,System Governance,Vendor Transparency & Contractual,General Healthcare AI,,Prevention,AI-Agnostic Governance,One-off gate,Cross-cutting,Meta-evaluation,Human Review,Pre-deployment,Vendor,Proposed / Novel,Prerequisite for existing Error Attribution Analysis metric; [Keyes-Stanford-Monitoring-2025],gv/vendor-transparency-contractual.md,370
GV.VT-9,Post-Market Surveillance Report Currency,2,Recommended,GV,System Governance,Vendor Transparency & Contractual,General Healthcare AI,,Limitation,AI-Agnostic Governance,Periodic audit; Event-triggered,Cross-cutting,Safety,Human Review,Continuous,Vendor; Deployer,Established,[MHRA-SaMD] PMS framework; UK MDR 2002 Schedule; FTS notice 069369-2025 Step 1.i,gv/vendor-transparency-contractual.md,410
GV.VT-10,MHRA Transparency Content Completeness,2,Recommended,GV,System Governance,Vendor Transparency & Contractual,General Healthcare AI,,Limitation,AI-Agnostic Governance,Periodic audit; Event-triggered,Cross-cutting,Transparency,Human Review,"Pre-deployment, Continuous",Vendor,Proposed / Novel,[MHRA-SaMD] Roadmap WP-2 transparency outputs (in development at v5.3 time of writing),gv/vendor-transparency-contractual.md,450
GV.VT-11,Joint-Controller Status Assessment,2,Recommended,GV,System Governance,Vendor Transparency & Contractual,General Healthcare AI,,Prevention,AI-Agnostic Governance,One-off gate; Event-triggered,Cross-cutting,Privacy,Human Review,"Pre-deployment, Continuous",Deployer; Vendor,Established,UK GDPR Article 26; [NHSE-IG-Guidance-2026-03] — controller-status determination content (topic-cited; the unverified 'section 5' placeholder from v5.4.0 is dropped — parent hub no stable section anchor),gv/vendor-transparency-contractual.md,490
GV.VT-13,Evidence Pack Freshness,1,Minimum Viable,GV,System Governance,Vendor Transparency & Contractual,AVT-Specific,,Limitation,AI-Agnostic Governance,Periodic audit,Cross-cutting,Meta-evaluation,Documentary,"Pre-deployment, Periodic Audit","Vendor, Deployer",Emerging,[NHSE-AVT-Registry]; National Commercial & Procurement Hub publication mechanism,gv/vendor-transparency-contractual.md,529
GV.VT-14,Indicative Pricing Transparency,1,Minimum Viable,GV,System Governance,Vendor Transparency & Contractual,AVT-Specific,,Prevention,AI-Agnostic Governance,Periodic audit,Cross-cutting,Meta-evaluation,Documentary,"Pre-deployment, Periodic Audit","Vendor, Deployer",Emerging,[NHSE-AVT-Registry] req #12,gv/vendor-transparency-contractual.md,616
GV.VT-15,Retirement Notification Compliance,1,Minimum Viable,GV,System Governance,Vendor Transparency & Contractual,General Healthcare AI,,Limitation,AI-Agnostic Governance,One-off gate; Event-triggered,Cross-cutting,Safety,Human Review,"Pre-deployment, Continuous",Vendor,Emerging,"Operational extension of [GV.VT-1] and [GV.VT-6]; promoted from `_gaps.md` P5-Lifecycle ""Decommissioning plan"" entry",gv/vendor-transparency-contractual.md,701
ES.ME-1,Proximal vs Distal Outcome Distinction,3,Advanced / Research,ES,Evaluation Science,Meta-Evaluation,General Healthcare AI,,Detection,AI-Substrate,Periodic audit,Cross-cutting,Meta-evaluation,Hybrid,Periodic Audit,"National Body, Academic",Emerging,[Coiera-Fraile-Navarro-JMIR-2026]; [NIHR-RSET],es/meta-evaluation.md,1
ES.ME-2,Inter-Rater Reliability Baseline,3,Advanced / Research,ES,Evaluation Science,Meta-Evaluation,General Healthcare AI,,Prevention,AI-Substrate,One-off gate,Cross-cutting,Meta-evaluation,Human Review,Pre-deployment,Academic,Established,[VeriFact]; [MedHELM],es/meta-evaluation.md,46
ES.ME-3,Metric Interaction Analysis,3,Advanced / Research,ES,Evaluation Science,Meta-Evaluation,General Healthcare AI,,Detection,AI-Substrate,Periodic audit,Cross-cutting,Meta-evaluation,Computational,Periodic Audit,"National Body, Academic",Proposed / Novel,Multi-metric evaluation literature,es/meta-evaluation.md,90
ES.ME-4,Goodhart's Law Monitoring,2,Recommended,ES,Evaluation Science,Meta-Evaluation,General Healthcare AI,,Detection,AI-Substrate,Periodic audit,Cross-cutting,Meta-evaluation,Human Review,Periodic Audit,"Deployer, Regional (ICB)",Proposed / Novel,Goodhart's Law applied to clinical AI metrics,es/meta-evaluation.md,130
ES.ME-5,Coverage Gap Analysis,3,Advanced / Research,ES,Evaluation Science,Meta-Evaluation,General Healthcare AI,,Detection,AI-Substrate,Periodic audit,Cross-cutting,Meta-evaluation,Human Review,Periodic Audit,"National Body, Academic",Proposed / Novel,Standard safety engineering coverage analysis,es/meta-evaluation.md,170
ES.ME-6,LLM-Judge Bias Quantification,3,Advanced / Research,ES,Evaluation Science,Meta-Evaluation,General Healthcare AI,,Detection,AI-Substrate,Periodic audit,Cross-cutting,Meta-evaluation,Computational,"Pre-deployment, Periodic Audit","Academic, National Body",Emerging,[Croxford-2025]; [Croxford-PDSQI9-JAMIA-2025],es/meta-evaluation.md,210
ES.ME-7,Automated-Human Metric Concordance,3,Advanced / Research,ES,Evaluation Science,Meta-Evaluation,General Healthcare AI,,Detection,AI-Substrate,Periodic audit,Cross-cutting,Meta-evaluation,Hybrid,Periodic Audit,"National Body, Academic",Emerging,Standard meta-evaluation methodology; [Croxford-2025] review; [BenAbacha-EvalMetrics-2023] on automated medical-note evaluation metrics,es/meta-evaluation.md,250
ES.ME-8,Outcome Evidence Commitment Status,1,Minimum Viable,ES,Evaluation Science,Meta-Evaluation,General Healthcare AI,,Prevention,AI-Substrate,One-off gate; Periodic audit,Cross-cutting,Meta-evaluation,Documentary,"Pre-deployment, Periodic Audit","Vendor, Deployer, National Body",Emerging,This taxonomy v3.3; [NHS-TEST] Section B Clinical Effectiveness (50 pts RCT validation); [SI-2024-1368],es/meta-evaluation.md,290
ES.ME-9,Causal Model Operationalisation,2,Recommended,ES,Evaluation Science,Meta-Evaluation,General Healthcare AI,,Prevention,AI-Substrate,One-off gate; Event-triggered,Cross-cutting,Meta-evaluation,Documentary,"Pre-deployment, Periodic Audit","Vendor, Deployer",Emerging,This taxonomy v3.3; ES.ME-1 (proximal/distal causal-logic framework); [Coiera-Fraile-Navarro-JMIR-2026] (structural critique),es/meta-evaluation.md,344
